,0
nos,11.531782275306893
theoretical,16.09054231245739
jumper,127.9160672573675
##0,313.15085528909566
shifts,59.96083720000054
kerry,28.64831318101789
password,4.743477316489309
cleveland,34.44997841881696
participating,27.446397987665705
##dt,37.08692898315807
september,500.7273184193091
ideology,41.940983842825325
alignment,95.71844575755426
prisoners,215.85733793059788
67,90.13989920385136
syndrome,30.802061160217104
initials,28.253703217907944
marched,32.74465298362473
cease,381.17518132359675
candles,92.94155463151858
mostly,60.745776770777944
physical,153.60872633405629
tastes,47.72054243404254
##lit,17.97160669212719
##vu,111.17448179347139
pot,179.63225177568822
server,18.09690408909898
##nam,19.304161930703536
thrilled,11.963143560720928
scientist,64.03282027716301
multi,42.1045270824489
curate,4.73888734768675
inspirational,19.097647944892035
cannes,12.18468762807565
homework,13.864984009703072
obvious,149.83714199340432
261,17.156168644182063
something,992.2631629744952
##ight,4.0044857050737805
##ing,1140.6544596947278
##encia,5.276598285407321
##ra,205.17327093503343
religion,81.78799439162589
string,88.52269946891442
combines,14.8067354516007
searing,122.02000040642619
hayes,22.863192296364826
researched,17.544368192900787
brotherhood,144.98419957793297
##tri,835.0488448554247
park,187.4559340724737
ridden,28.883410654296156
bit,330.0984212689208
ph,227.9942850320195
2,617.9212855610018
clinch,15.236999175635713
poetry,29.21152123433246
1974,29.24402233733652
footprint,27.009528838569466
##nder,43.22191540344237
ambiguity,10.848678183955597
incredibly,98.73037242894624
posed,66.45333257944381
construct,16.11707008230955
stacy,74.61281052672648
imitation,8.925199947242328
##rous,18.362183954018363
##piece,90.02904411870536
sympathy,37.63982864598793
robe,54.989905526531444
##face,27.38925653168727
##dou,10.106069411834927
noah,17.49705801399171
lasted,39.83398068692871
machine,117.91233854058738
inspected,8.826119701342154
viral,719.2562062392832
meaningless,6.769953161662542
severity,31.576300087634205
animator,10.589809062334911
ultimate,46.562310498632
castillo,18.118969796764716
##tick,20.126529516406528
contention,34.375540793254785
seals,22.881627431636872
##connected,25.307902641553433
lacking,15.523826803499357
partly,16.909222262466127
experienced,52.64519615594817
exceptional,32.38259694195218
edwards,115.64334987870248
suspicion,33.97849222253358
nose,67.52332543280278
##sat,21.554541638267935
staring,12.691512584830084
kay,3.2161423463734216
phases,18.25062464948044
concrete,6.040695953788466
project,304.45457186954815
##lei,6.270676742264583
skinned,82.39971649783965
official,851.3025339077855
regional,90.49997450465362
unwanted,48.74282354359196
##jong,10.260081232870935
formations,30.383364593214623
##lar,182.49160606665174
campaign,317.16363335196587
specialists,17.985234869952674
##izes,31.2350058423783
##ag,11.195798422481126
##dur,10.344788694934294
tripoli,280.8990773535316
sy,356.4138952011261
scotland,266.949055046166
pile,15.902712451043165
por,82.92392139476556
unanimously,6.676065381224761
curling,12.108873532178272
old,904.8394174240007
restructuring,27.554515526550258
staten,16.188645970011475
varieties,11.061367261860193
craters,19.198505803902023
##tub,4.968926910696948
curator,86.71439498113789
connection,99.01103205083676
dread,11.936289997863788
novo,14.761947885174107
clay,15.525081479247689
detainees,209.30011306377637
clutching,32.45827202391084
archaic,16.144363778748364
therefore,106.0584129505719
presented,155.57542618978786
captures,112.5839526732217
demand,51.03400455474885
1999,38.15677310596643
unarmed,420.43151506252536
aluminum,110.29516751708482
hughes,10.563500027864952
escorted,27.22454097469928
enrique,23.996145795007973
lo,239.57435035516863
riding,57.78981792809916
skimmed,12.323153455004332
wrath,18.863524167788647
wore,20.672723660766803
items,256.3557859407623
massive,158.42283098960235
albert,11.934438237828184
unidentified,287.2317212166753
linked,223.65517958500857
missing,1177.6146179978368
##roll,44.202684917750865
acceleration,5.278073651495187
forefront,55.95652751527734
##dp,13.365142696355004
saber,14.598806861179893
bench,23.725568266531095
interview,267.54344093871015
marked,65.31490290222521
farmers,72.94976303367645
mont,22.461308268228482
£5,19.467178605071396
minister,527.9260185407162
unprecedented,46.7775669400289
##ddled,17.313506063468328
singapore,21.041072571758825
##nger,91.62314373523826
flag,121.37519753263933
2000s,31.90777130447207
pornography,13.103551193591782
umbrella,14.203121184692995
##ras,78.26929110383826
ste,48.603444048872724
outlook,33.72762905321829
alternately,8.646926296387301
##ee,190.69067643415556
breed,42.67354674712824
thereby,17.564308849685165
dismissed,47.13017148607585
approached,53.548357659881994
##ena,45.054753132587734
eu,97.81205506686733
sunday,446.11559189948713
funds,114.53806505789862
##ero,49.436629589229696
vale,33.07975888722107
sen,116.66210549197719
##ud,52.359616827189136
##carriage,90.68688990537426
talents,10.714677123698584
detailing,55.56382773427244
##day,67.9453563901456
eliot,9.913442356044797
slept,9.233210714292595
midnight,55.40065238980928
wants,193.50165899933592
fog,58.22032204331442
empowered,5.729129037016329
abroad,47.95961701496978
diamonds,14.303238328252668
mug,18.87621172640301
legislature,22.540656640645004
meetings,124.03613235106184
twitching,8.27023023960669
##wall,26.724288068664425
##wood,223.72499541989575
fully,131.65753273905838
protest,87.22719115914575
producers,112.94127618203458
likened,15.956889018363155
ashes,12.3320196527954
grandson,20.637813075784674
archaeology,18.118969796764716
spite,15.929782749540832
streams,19.956179154702337
2008,105.45477652814986
excursion,42.79341085227978
poured,30.4862690709128
barrett,13.373527601221888
subtle,44.612731994099164
stairway,87.15341351411789
##ugh,27.276171744569034
foyer,41.50610520441347
prayed,49.817081332060965
##ress,41.68809857138887
##pon,50.99983201711468
rude,8.490938367112735
prediction,55.61725655629423
display,349.09970793019414
discharge,19.90349087931378
stored,61.006558899034815
73,7.683221703177465
##gly,189.69367423729688
seeing,177.19652211226108
##ads,10.12440733175585
chilly,15.040369229770416
occur,64.095717299068
